dataset,k,temperature,alpha,max_depth,accuracy,f1_score,precision,recall,timestamp
uci,23,2,0.5,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.191598
uci,23,2,0.5,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.195542
uci,23,2,0.6,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.201784
uci,23,2,0.6,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.237375
uci,23,2,0.6,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.259795
uci,23,2,0.6,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.268373
uci,23,2,0.6,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.273325
uci,23,2,0.7,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.302889
uci,23,2,0.7,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.316689
uci,23,2,0.7,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.337463
uci,23,2,0.7,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.341611
uci,23,2,0.7,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.381995
uci,23,2,0.8,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.388525
uci,23,2,0.8,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.398322
uci,23,2,0.8,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.403097
uci,23,2,0.9,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.463289
uci,23,2,0.9,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.466138
uci,23,2,0.8,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.470740
uci,23,2,0.8,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.473725
uci,23,2,0.9,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.532305
uci,23,2,1.0,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.538407
uci,23,2,0.9,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.546257
uci,23,2,0.9,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.552542
uci,23,2,1.0,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.581556
uci,23,2,1.0,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.606429
uci,23,2,1.0,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.622734
uci,23,2,1.0,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.623263
uci,23,3,0.0,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.638556
uci,23,3,0.0,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.660269
uci,23,3,0.0,6,0.8125,0.7909200393140268,0.7927725104624262,0.8125,2025-09-29T01:17:21.688983
uci,23,3,0.0,7,0.8093333333333333,0.7949266346100702,0.791753254668862,0.8093333333333333,2025-09-29T01:17:21.697400
uci,23,3,0.0,8,0.8153333333333334,0.7914936049698945,0.7965708331222874,0.8153333333333334,2025-09-29T01:17:21.702551
uci,23,3,0.1,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.721714
uci,23,3,0.1,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.742387
uci,23,3,0.1,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.761474
uci,23,3,0.1,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.774495
uci,23,3,0.1,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.783879
uci,23,3,0.2,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.803128
uci,23,3,0.2,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.824383
uci,23,3,0.2,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.841373
uci,23,3,0.2,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.849699
uci,23,3,0.2,8,0.8143333333333334,0.7917096009066282,0.7951541772982674,0.8143333333333334,2025-09-29T01:17:21.864670
uci,23,3,0.3,4,0.8113333333333334,0.7808186367683281,0.7917572266816002,0.8113333333333334,2025-09-29T01:17:21.887331
uci,23,3,0.3,5,0.8118333333333333,0.7899756956552305,0.7918376397651142,0.8118333333333333,2025-09-29T01:17:21.908873
uci,23,3,0.3,6,0.8125,0.7910198033868497,0.7927884385982382,0.8125,2025-09-29T01:17:21.918656
uci,23,3,0.3,7,0.809,0.7945681147405074,0.7913530845286018,0.809,2025-09-29T01:17:21.943114
