dataset,k,accuracy,f1_score,precision,recall
german,31,0.725,0.7123486682808717,0.71,0.725
german,32,0.72,0.6834498834498833,0.692358803986711,0.72
german,33,0.7,0.688472172136074,0.6961281021521986,0.7
german,34,0.685,0.6647435291150414,0.66,0.685
german,35,0.74,0.7387185959850943,0.7417094017094017,0.74
german,36,0.71,0.6742127455964593,0.6778438030560272,0.71
german,37,0.7,0.6403966437833715,0.6428571428571428,0.7
german,38,0.72,0.6998477929984779,0.697270955165692,0.72
german,39,0.72,0.6931720205812821,0.6947554925584691,0.72
german,40,0.715,0.6906666666666667,0.686875,0.715
german,41,0.7,0.6985214569058781,0.6971830985915493,0.7
german,42,0.715,0.6861616055479668,0.6875884594447469,0.715
german,43,0.705,0.6936238078530191,0.6926916221033868,0.705
german,44,0.71,0.7027815529582314,0.7025071225071226,0.71
german,45,0.705,0.707000088051422,0.7093152589502956,0.705
german,46,0.705,0.6956902802736531,0.6908095688606568,0.705
german,47,0.735,0.6906666666666667,0.7201117318435755,0.735
german,48,0.675,0.6421141115897868,0.6344583560152423,0.675
german,49,0.715,0.6996371481808376,0.6971830985915493,0.715
german,50,0.7,0.6952521163047478,0.6917808219178082,0.7
german,51,0.715,0.682961698495679,0.6864096201565184,0.715
german,52,0.68,0.6624669069567158,0.6567095588235294,0.68
german,53,0.69,0.6730158730158731,0.6681912681912682,0.69
german,54,0.705,0.6842369688088757,0.6835076331289818,0.705
uci,5,0.7881666666666667,0.747850378920384,0.7526810153438259,0.7881666666666667
uci,6,0.7868333333333334,0.7492582568744647,0.7507361358209044,0.7868333333333334
uci,7,0.786,0.7377909353424282,0.7474945787554059,0.786
uci,8,0.7878333333333334,0.7527783218313268,0.7581964251008569,0.7878333333333334
uci,9,0.7881666666666667,0.7578136069647894,0.7538772383383348,0.7881666666666667
uci,10,0.7896666666666666,0.7488876165301637,0.7553142402491704,0.7896666666666666
uci,11,0.788,0.7439042160737813,0.7517938483895388,0.788
uci,12,0.7866666666666666,0.7511387840889352,0.7509482035237811,0.7866666666666666
uci,13,0.79,0.7518934652297388,0.7580678712651323,0.79
uci,14,0.797,0.7624368797342731,0.7687591200733273,0.797
uci,15,0.798,0.7628893258684263,0.7712007726615359,0.798
uci,16,0.7981666666666667,0.7623711831070084,0.7710040026510243,0.7981666666666667
uci,17,0.818,0.7931893388564173,0.8006474276225027,0.818
uci,18,0.8148333333333333,0.7905113610347987,0.7975775731561696,0.8148333333333333
uci,19,0.8083333333333333,0.7798235498016035,0.7878604479234615,0.8083333333333333
uci,20,0.8158333333333333,0.793037216498035,0.7972357109907294,0.8158333333333333
uci,21,0.8201666666666667,0.7952751403415097,0.8047756295236272,0.8201666666666667
uci,22,0.8148333333333333,0.791190270627045,0.7958507303341121,0.8148333333333333
uci,23,0.814,0.7955251332875855,0.7947108445493247,0.814
xinwang,5,0.8985183114341627,0.8520012173545464,0.8750996086470708,0.8985183114341627
xinwang,6,0.898238747553816,0.8500857425303124,0.8238910130402862,0.898238747553816
xinwang,7,0.898238747553816,0.8504866681505864,0.8409278652703387,0.898238747553816
xinwang,8,0.898238747553816,0.8516933368493849,0.8583145045898659,0.898238747553816
xinwang,9,0.8979591836734694,0.8503456761759117,0.8324222273706419,0.8979591836734694
xinwang,10,0.8979591836734694,0.8499463417713529,0.8170045376815196,0.8979591836734694
xinwang,11,0.8979591836734694,0.8508784650738321,0.8411027588150761,0.8979591836734694
xinwang,12,0.8976796197931227,0.8500635932982793,0.8238910130402862,0.8976796197931227
xinwang,13,0.898238747553816,0.8517074355327957,0.8375877101648724,0.898238747553816
xinwang,14,0.8985183114341627,0.8518372981061036,0.8685160511304493,0.8985183114341627
xinwang,15,0.8979591836734694,0.8543365482716218,0.8449290009827995,0.8979591836734694
xinwang,16,0.898238747553816,0.851413635684984,0.8581139367171595,0.898238747553816
xinwang,17,0.898238747553816,0.8526224350311075,0.8581139367171595,0.898238747553816
xinwang,18,0.8976796197931227,0.8500635932982793,0.8240879172763226,0.8976796197931227
xinwang,19,0.8985183114341627,0.8522173556118132,0.9088197244513324,0.8985183114341627
xinwang,20,0.8985183114341627,0.8527356095018486,0.8658093374336036,0.8985183114341627
xinwang,21,0.898238747553816,0.8520620933264343,0.844562539543294,0.898238747553816
xinwang,22,0.898238747553816,0.8524704137974354,0.8360158696246702,0.898238747553816
xinwang,23,0.898238747553816,0.8529516452039135,0.8583145045898659,0.898238747553816
xinwang,24,0.8985183114341627,0.8538719994169581,0.8658093374336036,0.8985183114341627
xinwang,25,0.898238747553816,0.8519934364475727,0.857913593256059,0.898238747553816
xinwang,26,0.898238747553816,0.8546502241440471,0.857913593256059,0.898238747553816
xinwang,27,0.898238747553816,0.8510535411292345,0.8479123340265556,0.898238747553816
xinwang,28,0.898238747553816,0.8522949836392335,0.857913593256059,0.898238747553816
xinwang,29,0.8976796197931227,0.853230699239621,0.8411027588150761,0.8976796197931227
